318,100,318,124,353,124,353,100
192,119,192,138,320,126,317,104
338,369,330,386,366,404,374,387
370,382,357,401,414,439,427,420
555,407,555,426,581,426,581,407
592,410,592,426,663,426,663,410
834,426,832,448,890,454,892,432
890,435,890,452,921,452,921,435
527,442,527,464,557,464,557,442
433,471,433,485,452,485,452,471
595,480,595,503,625,503,625,480
517,489,517,503,585,515,585,487
628,499,628,513,656,522,656,508
525,534,525,548,536,548,536,534
672,581,672,600,698,600,698,581
712,583,712,602,766,602,766,583
466,583,466,604,553,604,553,583
428,590,428,604,452,604,452,590
2,677,2,698,63,698,63,677
382,782,382,808,435,806,435,782
921,834,921,857,977,857,977,834
740,836,740,860,773,860,773,836
839,836,839,860,918,857,918,839
138,846,138,867,274,862,274,839
686,839,686,864,735,864,735,839
780,839,780,862,832,862,832,839
841,860,841,888,895,888,895,860
771,862,771,888,839,888,839,862
897,864,897,890,989,890,989,864
635,869,635,890,712,890,712,867
717,867,717,890,768,890,768,867
60,890,60,911,100,911,100,890
351,892,351,909,398,911,398,890
250,895,250,914,290,914,290,895
728,895,728,918,766,918,766,895
768,895,768,918,822,918,822,895
825,895,825,921,885,921,885,895
135,897,135,918,178,918,178,897
57,917,59,936,104,931,102,912
776,923,778,947,833,944,831,919
722,926,724,949,776,945,775,922
834,923,834,946,897,946,897,923
234,942,234,963,307,963,307,942
117,949,117,965,185,965,185,946
358,951,358,967,393,967,393,951
236,965,236,984,304,984,304,965
117,967,117,986,185,986,185,967
358,970,358,989,393,989,393,970
232,982,232,1003,307,1000,307,984
117,989,117,1005,185,1005,185,989
356,989,356,1010,393,1010,393,989
232,1003,232,1024,304,1021,304,1003
114,1007,114,1026,182,1026,182,1007
356,1010,356,1028,393,1028,393,1010
232,1024,232,1045,304,1045,304,1024
112,1026,112,1045,182,1045,182,1028
358,1033,358,1050,393,1050,393,1033
114,1047,114,1064,182,1064,182,1045
234,1045,234,1064,307,1064,307,1045
358,1054,358,1071,393,1071,393,1054
114,1065,114,1083,182,1086,183,1068
232,1064,232,1085,304,1085,304,1064
847,1145,849,1170,903,1166,901,1142
733,1150,733,1176,782,1176,782,1150
785,1149,783,1175,845,1178,847,1153
0,1178,0,1200,18,1200,18,1178
825,1207,825,1232,890,1232,890,1207
712,1211,712,1237,750,1237,750,1211
750,1211,750,1237,825,1237,825,1211
635,1225,635,1246,712,1244,712,1221
570,1234,576,1263,638,1249,632,1221
522,1237,522,1263,574,1263,574,1237
363,1249,363,1282,452,1282,452,1246
453,1248,455,1273,523,1270,522,1245
292,1249,292,1277,363,1277,363,1249
262,1253,262,1277,292,1277,292,1253
